credit_profile_id,cust_account_id,credit_limit,currency_code,payment_terms,risk_level,risk_score,overdue_tolerance_days,credit_hold_flag,review_date,effective_start_date,effective_end_date,status,created_date,last_update_date
700000011,300000011,151281.88,CNY,PREPAID,LOW,52.94,0,N,2026-01-31 22:23:00,2026-01-31 22:23:00,,ACTIVE,2026-01-31 22:23:00,2026-01-31 22:23:00
700000012,300000012,5139731.85,CNY,NET30,LOW,74.16,30,N,2025-09-02 02:15:00,2025-09-02 02:15:00,,ACTIVE,2025-09-02 02:15:00,2025-09-02 02:15:00
700000013,300000013,190839.5,CNY,NET60,LOW,47.39,0,N,2025-10-20 09:07:00,2025-10-20 09:07:00,,ACTIVE,2025-10-20 09:07:00,2025-10-20 09:07:00
700000014,300000014,132752.06,CNY,NET30,LOW,63.52,0,N,2025-07-16 22:55:00,2025-07-16 22:55:00,,ACTIVE,2025-07-16 22:55:00,2025-07-16 22:55:00
700000015,300000015,188864.57,CNY,NET30,LOW,53.02,0,N,2025-03-22 22:03:00,2025-03-22 22:03:00,,ACTIVE,2025-03-22 22:03:00,2025-03-22 22:03:00
700000016,300000016,10976989.68,CNY,NET30,MEDIUM,55.32,0,N,2024-01-14 01:54:00,2024-01-14 01:54:00,,ACTIVE,2024-01-14 01:54:00,2024-01-14 01:54:00
700000017,300000017,1760315.1,CNY,NET30,LOW,42.44,15,N,2025-07-02 22:54:00,2025-07-02 22:54:00,,ACTIVE,2025-07-02 22:54:00,2025-07-02 22:54:00
700000018,300000018,692411.93,CNY,NET30,LOW,56.55,30,N,2024-05-17 10:40:00,2024-05-17 10:40:00,,ACTIVE,2024-05-17 10:40:00,2024-05-17 10:40:00
700000019,300000019,150919.35,CNY,NET30,MEDIUM,52.36,0,N,2025-01-02 02:47:00,2025-01-02 02:47:00,,ACTIVE,2025-01-02 02:47:00,2025-01-02 02:47:00
700000020,300000020,16676306.1,CNY,NET30,MEDIUM,52.04,30,N,2024-08-18 17:15:00,2024-08-18 17:15:00,,ACTIVE,2024-08-18 17:15:00,2024-08-18 17:15:00
700000021,300000021,871890.31,CNY,NET60,LOW,55.25,30,N,2025-01-01 04:08:00,2025-01-01 04:08:00,,ACTIVE,2025-01-01 04:08:00,2025-01-01 04:08:00
700000022,300000022,249812.57,CNY,NET30,MEDIUM,85.81,15,N,2026-01-07 19:51:00,2026-01-07 19:51:00,,ACTIVE,2026-01-07 19:51:00,2026-01-07 19:51:00
700000023,300000023,15033104.31,CNY,NET30,LOW,83.9,0,N,2025-01-25 06:13:00,2025-01-25 06:13:00,,ACTIVE,2025-01-25 06:13:00,2025-01-25 06:13:00
700000024,300000024,8784072.98,CNY,NET30,LOW,44.5,0,N,2025-09-25 22:44:00,2025-09-25 22:44:00,,ACTIVE,2025-09-25 22:44:00,2025-09-25 22:44:00
700000025,300000025,75168.37,CNY,NET60,MEDIUM,73.4,0,N,2026-03-10 04:51:00,2026-03-10 04:51:00,,ACTIVE,2026-03-10 04:51:00,2026-03-10 04:51:00
700000026,300000026,4130541.39,CNY,PREPAID,LOW,59.1,15,N,2025-09-08 21:23:00,2025-09-08 21:23:00,,ACTIVE,2025-09-08 21:23:00,2025-09-08 21:23:00
700000027,300000027,2073582.15,CNY,NET60,MEDIUM,86.84,0,N,2024-06-18 09:15:00,2024-06-18 09:15:00,,ACTIVE,2024-06-18 09:15:00,2024-06-18 09:15:00
700000028,300000028,4792250.31,CNY,NET30,LOW,44.71,15,N,2025-05-02 18:29:00,2025-05-02 18:29:00,,ACTIVE,2025-05-02 18:29:00,2025-05-02 18:29:00
700000029,300000029,2083665.71,CNY,NET30,MEDIUM,53.83,0,N,2025-07-24 14:18:00,2025-07-24 14:18:00,,ACTIVE,2025-07-24 14:18:00,2025-07-24 14:18:00
700000030,300000030,133003.85,CNY,NET60,LOW,78.36,0,N,2025-09-13 14:46:00,2025-09-13 14:46:00,,ACTIVE,2025-09-13 14:46:00,2025-09-13 14:46:00
700000031,300000031,19236884.64,CNY,NET30,LOW,44.68,0,N,2025-07-15 08:53:00,2025-07-15 08:53:00,,ACTIVE,2025-07-15 08:53:00,2025-07-15 08:53:00
700000032,300000032,641593.8,CNY,NET60,LOW,48.61,15,N,2024-07-03 22:21:00,2024-07-03 22:21:00,,ACTIVE,2024-07-03 22:21:00,2024-07-03 22:21:00
700000033,300000033,6071147.55,CNY,NET30,LOW,49.13,0,N,2025-08-03 15:10:00,2025-08-03 15:10:00,,ACTIVE,2025-08-03 15:10:00,2025-08-03 15:10:00
700000034,300000034,19428666.53,CNY,NET60,LOW,85.98,30,N,2024-11-03 06:29:00,2024-11-03 06:29:00,,ACTIVE,2024-11-03 06:29:00,2024-11-03 06:29:00
700000035,300000035,2152871.18,CNY,NET30,LOW,91.99,30,N,2024-06-18 08:55:00,2024-06-18 08:55:00,,ACTIVE,2024-06-18 08:55:00,2024-06-18 08:55:00
700000036,300000036,18915091.41,CNY,NET60,HIGH,31.91,15,N,2024-12-12 10:57:00,2024-12-12 10:57:00,,ACTIVE,2024-12-12 10:57:00,2024-12-12 10:57:00
700000037,300000037,1578567.87,CNY,NET30,LOW,50.48,30,N,2025-12-04 09:53:00,2025-12-04 09:53:00,,ACTIVE,2025-12-04 09:53:00,2025-12-04 09:53:00
700000038,300000038,501768.04,CNY,NET30,LOW,91.31,0,N,2025-05-29 05:23:00,2025-05-29 05:23:00,,ACTIVE,2025-05-29 05:23:00,2025-05-29 05:23:00
700000039,300000039,18045504.7,CNY,PREPAID,MEDIUM,88.08,15,N,2024-04-07 11:36:00,2024-04-07 11:36:00,,ACTIVE,2024-04-07 11:36:00,2024-04-07 11:36:00
700000040,300000040,4489532.07,CNY,PREPAID,MEDIUM,41.97,0,N,2025-04-18 04:16:00,2025-04-18 04:16:00,,ACTIVE,2025-04-18 04:16:00,2025-04-18 04:16:00
700000041,300000041,3727201.49,CNY,NET30,HIGH,19.0,0,N,2026-03-01 22:40:00,2026-03-01 22:40:00,,ACTIVE,2026-03-01 22:40:00,2026-03-01 22:40:00
700000042,300000042,752250.81,CNY,NET30,HIGH,32.84,0,N,2024-12-15 15:18:00,2024-12-15 15:18:00,,ACTIVE,2024-12-15 15:18:00,2024-12-15 15:18:00
700000043,300000043,8285068.08,CNY,NET90,LOW,50.46,0,N,2026-03-08 02:35:00,2026-03-08 02:35:00,,ACTIVE,2026-03-08 02:35:00,2026-03-08 02:35:00
700000044,300000044,864378.1,CNY,NET30,MEDIUM,54.13,15,N,2025-12-28 14:40:00,2025-12-28 14:40:00,,ACTIVE,2025-12-28 14:40:00,2025-12-28 14:40:00
700000045,300000045,137684.01,CNY,NET30,HIGH,51.12,0,N,2023-12-28 06:37:00,2023-12-28 06:37:00,,ACTIVE,2023-12-28 06:37:00,2023-12-28 06:37:00
700000046,300000046,64578.8,CNY,NET30,MEDIUM,88.8,0,N,2024-06-18 09:02:00,2024-06-18 09:02:00,,ACTIVE,2024-06-18 09:02:00,2024-06-18 09:02:00
700000047,300000047,635572.69,CNY,NET30,MEDIUM,93.78,0,N,2024-07-08 10:43:00,2024-07-08 10:43:00,,ACTIVE,2024-07-08 10:43:00,2024-07-08 10:43:00
700000048,300000048,99283.93,CNY,NET90,LOW,48.12,30,N,2025-04-23 16:52:00,2025-04-23 16:52:00,,ACTIVE,2025-04-23 16:52:00,2025-04-23 16:52:00
700000049,300000049,2904983.86,CNY,NET30,MEDIUM,82.79,30,N,2025-03-29 16:23:00,2025-03-29 16:23:00,,ACTIVE,2025-03-29 16:23:00,2025-03-29 16:23:00
700000050,300000050,14124461.35,CNY,NET60,LOW,43.61,0,N,2026-01-27 08:06:00,2026-01-27 08:06:00,,ACTIVE,2026-01-27 08:06:00,2026-01-27 08:06:00
700000051,300000051,10980952.76,CNY,NET30,HIGH,46.48,0,N,2025-01-14 20:10:00,2025-01-14 20:10:00,,ACTIVE,2025-01-14 20:10:00,2025-01-14 20:10:00
700000052,300000052,4472368.6,CNY,NET60,LOW,79.66,0,N,2024-03-04 12:09:00,2024-03-04 12:09:00,,ACTIVE,2024-03-04 12:09:00,2024-03-04 12:09:00
700000053,300000053,5393807.47,CNY,NET90,LOW,91.1,0,N,2025-03-19 20:12:00,2025-03-19 20:12:00,,ACTIVE,2025-03-19 20:12:00,2025-03-19 20:12:00
700000054,300000054,16652534.3,CNY,NET30,LOW,71.22,0,N,2024-03-02 03:59:00,2024-03-02 03:59:00,,ACTIVE,2024-03-02 03:59:00,2024-03-02 03:59:00
700000055,300000055,1181669.45,CNY,NET60,LOW,61.74,30,N,2025-08-22 07:53:00,2025-08-22 07:53:00,,ACTIVE,2025-08-22 07:53:00,2025-08-22 07:53:00
700000056,300000056,4684649.74,CNY,NET30,MEDIUM,87.42,30,N,2024-02-25 10:49:00,2024-02-25 10:49:00,,ACTIVE,2024-02-25 10:49:00,2024-02-25 10:49:00
700000057,300000057,16187072.4,CNY,NET60,LOW,52.19,0,N,2025-03-25 21:33:00,2025-03-25 21:33:00,,ACTIVE,2025-03-25 21:33:00,2025-03-25 21:33:00
700000058,300000058,807901.72,CNY,PREPAID,LOW,64.69,30,N,2025-09-09 18:22:00,2025-09-09 18:22:00,,ACTIVE,2025-09-09 18:22:00,2025-09-09 18:22:00
700000059,300000059,14669997.04,CNY,NET30,LOW,93.76,0,N,2024-08-02 22:38:00,2024-08-02 22:38:00,,ACTIVE,2024-08-02 22:38:00,2024-08-02 22:38:00
700000060,300000060,55871.32,CNY,NET90,LOW,78.92,15,N,2024-11-28 07:51:00,2024-11-28 07:51:00,,ACTIVE,2024-11-28 07:51:00,2024-11-28 07:51:00
700000061,300000061,180991.95,CNY,NET60,HIGH,26.67,30,N,2026-02-05 03:19:00,2026-02-05 03:19:00,,ACTIVE,2026-02-05 03:19:00,2026-02-05 03:19:00
700000062,300000062,10125985.18,CNY,NET60,LOW,82.14,0,N,2025-04-28 19:18:00,2025-04-28 19:18:00,,ACTIVE,2025-04-28 19:18:00,2025-04-28 19:18:00
700000063,300000063,776946.4,CNY,NET30,MEDIUM,42.4,0,N,2023-10-15 04:52:00,2023-10-15 04:52:00,,ACTIVE,2023-10-15 04:52:00,2023-10-15 04:52:00
700000064,300000064,17253368.59,CNY,NET90,LOW,84.07,0,N,2025-09-13 12:17:00,2025-09-13 12:17:00,,ACTIVE,2025-09-13 12:17:00,2025-09-13 12:17:00
700000065,300000065,11223453.59,CNY,NET30,HIGH,29.82,0,N,2025-10-17 15:32:00,2025-10-17 15:32:00,,ACTIVE,2025-10-17 15:32:00,2025-10-17 15:32:00
700000066,300000066,17524446.49,CNY,NET30,LOW,70.18,30,N,2025-11-10 22:42:00,2025-11-10 22:42:00,,ACTIVE,2025-11-10 22:42:00,2025-11-10 22:42:00
700000067,300000067,533254.08,CNY,NET30,LOW,76.54,0,N,2023-11-25 08:22:00,2023-11-25 08:22:00,,ACTIVE,2023-11-25 08:22:00,2023-11-25 08:22:00
700000068,300000068,306727.67,CNY,NET60,MEDIUM,59.38,0,N,2024-02-24 23:38:00,2024-02-24 23:38:00,,ACTIVE,2024-02-24 23:38:00,2024-02-24 23:38:00
700000069,300000069,9291663.43,CNY,PREPAID,MEDIUM,87.42,0,N,2025-09-05 22:10:00,2025-09-05 22:10:00,,ACTIVE,2025-09-05 22:10:00,2025-09-05 22:10:00
700000070,300000070,4980392.66,CNY,NET90,LOW,49.93,0,N,2025-04-17 18:29:00,2025-04-17 18:29:00,,ACTIVE,2025-04-17 18:29:00,2025-04-17 18:29:00
700000071,300000071,2453244.52,CNY,NET60,LOW,84.06,0,N,2026-02-15 00:05:00,2026-02-15 00:05:00,,ACTIVE,2026-02-15 00:05:00,2026-02-15 00:05:00
700000072,300000072,2592136.18,CNY,NET30,LOW,75.73,0,N,2024-08-27 22:22:00,2024-08-27 22:22:00,,ACTIVE,2024-08-27 22:22:00,2024-08-27 22:22:00
700000073,300000073,19958936.06,CNY,NET30,LOW,84.58,0,N,2024-04-09 09:47:00,2024-04-09 09:47:00,,ACTIVE,2024-04-09 09:47:00,2024-04-09 09:47:00
700000074,300000074,1519084.92,CNY,NET60,MEDIUM,88.63,0,N,2024-01-09 19:45:00,2024-01-09 19:45:00,,ACTIVE,2024-01-09 19:45:00,2024-01-09 19:45:00
700000075,300000075,865112.65,CNY,NET90,MEDIUM,68.5,0,N,2024-12-25 09:17:00,2024-12-25 09:17:00,,ACTIVE,2024-12-25 09:17:00,2024-12-25 09:17:00
700000076,300000076,776506.21,CNY,NET60,MEDIUM,73.28,30,N,2025-06-22 19:20:00,2025-06-22 19:20:00,,ACTIVE,2025-06-22 19:20:00,2025-06-22 19:20:00
700000077,300000077,3754454.29,CNY,NET30,LOW,48.69,15,N,2026-02-27 08:04:00,2026-02-27 08:04:00,,ACTIVE,2026-02-27 08:04:00,2026-02-27 08:04:00
700000078,300000078,240484.23,CNY,NET30,MEDIUM,92.0,30,N,2025-11-17 12:28:00,2025-11-17 12:28:00,,ACTIVE,2025-11-17 12:28:00,2025-11-17 12:28:00
700000079,300000079,678015.02,CNY,NET30,MEDIUM,86.36,15,N,2024-11-06 23:55:00,2024-11-06 23:55:00,,ACTIVE,2024-11-06 23:55:00,2024-11-06 23:55:00
700000080,300000080,152059.8,CNY,NET30,MEDIUM,46.53,0,N,2026-02-06 05:25:00,2026-02-06 05:25:00,,ACTIVE,2026-02-06 05:25:00,2026-02-06 05:25:00
700000081,300000081,454824.03,CNY,NET60,LOW,61.61,30,N,2025-11-10 01:39:00,2025-11-10 01:39:00,,ACTIVE,2025-11-10 01:39:00,2025-11-10 01:39:00
700000082,300000082,4868282.78,CNY,NET90,MEDIUM,83.06,30,N,2026-03-13 12:39:00,2026-03-13 12:39:00,,ACTIVE,2026-03-13 12:39:00,2026-03-13 12:39:00
700000083,300000083,528301.93,CNY,NET30,LOW,82.62,15,N,2025-07-25 22:24:00,2025-07-25 22:24:00,,ACTIVE,2025-07-25 22:24:00,2025-07-25 22:24:00
700000084,300000084,19122283.19,CNY,NET30,LOW,94.02,0,N,2024-12-15 06:39:00,2024-12-15 06:39:00,,ACTIVE,2024-12-15 06:39:00,2024-12-15 06:39:00
700000085,300000085,724777.64,CNY,NET30,LOW,81.1,0,N,2024-09-20 11:03:00,2024-09-20 11:03:00,,ACTIVE,2024-09-20 11:03:00,2024-09-20 11:03:00
700000086,300000086,5077721.7,CNY,NET30,LOW,70.27,0,N,2024-10-03 16:20:00,2024-10-03 16:20:00,,ACTIVE,2024-10-03 16:20:00,2024-10-03 16:20:00
700000087,300000087,949287.0,CNY,PREPAID,LOW,92.92,0,N,2024-03-20 22:02:00,2024-03-20 22:02:00,,ACTIVE,2024-03-20 22:02:00,2024-03-20 22:02:00
700000088,300000088,3946471.58,CNY,NET30,LOW,83.49,30,N,2023-11-10 07:31:00,2023-11-10 07:31:00,,ACTIVE,2023-11-10 07:31:00,2023-11-10 07:31:00
700000089,300000089,5171536.01,CNY,NET30,LOW,75.95,0,N,2024-11-27 13:01:00,2024-11-27 13:01:00,,ACTIVE,2024-11-27 13:01:00,2024-11-27 13:01:00
700000090,300000090,930237.51,CNY,NET30,LOW,81.65,0,N,2024-06-14 14:37:00,2024-06-14 14:37:00,,ACTIVE,2024-06-14 14:37:00,2024-06-14 14:37:00
700000091,300000091,773534.37,CNY,NET30,MEDIUM,66.89,30,N,2024-09-16 07:48:00,2024-09-16 07:48:00,,ACTIVE,2024-09-16 07:48:00,2024-09-16 07:48:00
700000092,300000092,632930.8,CNY,NET60,LOW,43.31,0,N,2025-05-19 00:59:00,2025-05-19 00:59:00,,ACTIVE,2025-05-19 00:59:00,2025-05-19 00:59:00
700000093,300000093,4339286.45,CNY,NET30,LOW,81.59,0,N,2024-12-26 11:36:00,2024-12-26 11:36:00,,ACTIVE,2024-12-26 11:36:00,2024-12-26 11:36:00
700000094,300000094,139667.73,CNY,NET30,LOW,78.68,0,N,2024-02-06 20:58:00,2024-02-06 20:58:00,,ACTIVE,2024-02-06 20:58:00,2024-02-06 20:58:00
700000095,300000095,420123.14,CNY,NET30,LOW,70.62,30,N,2024-03-11 05:40:00,2024-03-11 05:40:00,,ACTIVE,2024-03-11 05:40:00,2024-03-11 05:40:00
700000096,300000096,649908.76,CNY,NET90,HIGH,58.39,30,N,2025-02-05 19:41:00,2025-02-05 19:41:00,,ACTIVE,2025-02-05 19:41:00,2025-02-05 19:41:00
700000097,300000097,180421.08,CNY,NET30,LOW,58.31,0,N,2024-03-19 17:57:00,2024-03-19 17:57:00,,ACTIVE,2024-03-19 17:57:00,2024-03-19 17:57:00
700000098,300000098,4046515.88,CNY,NET30,LOW,57.61,0,N,2024-01-26 14:36:00,2024-01-26 14:36:00,,ACTIVE,2024-01-26 14:36:00,2024-01-26 14:36:00
700000099,300000099,19497624.01,CNY,NET60,LOW,75.29,15,N,2025-09-11 13:46:00,2025-09-11 13:46:00,,ACTIVE,2025-09-11 13:46:00,2025-09-11 13:46:00
700000100,300000100,5137121.93,CNY,NET30,LOW,67.82,0,N,2023-11-22 21:08:00,2023-11-22 21:08:00,,ACTIVE,2023-11-22 21:08:00,2023-11-22 21:08:00
700000101,300000101,7233462.29,CNY,NET90,LOW,50.56,30,N,2024-03-21 15:26:00,2024-03-21 15:26:00,,ACTIVE,2024-03-21 15:26:00,2024-03-21 15:26:00
700000102,300000102,155426.77,CNY,NET30,LOW,44.55,15,N,2025-05-27 02:08:00,2025-05-27 02:08:00,,ACTIVE,2025-05-27 02:08:00,2025-05-27 02:08:00
700000103,300000103,315353.25,CNY,PREPAID,HIGH,51.03,15,N,2026-01-13 02:01:00,2026-01-13 02:01:00,,ACTIVE,2026-01-13 02:01:00,2026-01-13 02:01:00
700000104,300000104,3420674.97,CNY,NET30,MEDIUM,73.76,30,N,2024-03-03 19:10:00,2024-03-03 19:10:00,,ACTIVE,2024-03-03 19:10:00,2024-03-03 19:10:00
700000105,300000105,791724.23,CNY,NET60,LOW,57.42,0,N,2024-05-03 05:18:00,2024-05-03 05:18:00,,ACTIVE,2024-05-03 05:18:00,2024-05-03 05:18:00
700000106,300000106,1049362.46,CNY,NET60,LOW,62.76,0,N,2024-09-08 07:34:00,2024-09-08 07:34:00,,ACTIVE,2024-09-08 07:34:00,2024-09-08 07:34:00
700000107,300000107,13907095.97,CNY,NET90,LOW,50.76,0,N,2026-01-25 18:33:00,2026-01-25 18:33:00,,ACTIVE,2026-01-25 18:33:00,2026-01-25 18:33:00
700000108,300000108,787899.49,CNY,NET30,LOW,74.81,30,N,2023-12-08 03:22:00,2023-12-08 03:22:00,,ACTIVE,2023-12-08 03:22:00,2023-12-08 03:22:00
700000109,300000109,3533344.16,CNY,NET90,LOW,53.31,0,N,2024-09-13 23:14:00,2024-09-13 23:14:00,,ACTIVE,2024-09-13 23:14:00,2024-09-13 23:14:00
700000110,300000110,56644.5,CNY,NET90,LOW,94.1,15,N,2024-01-11 12:16:00,2024-01-11 12:16:00,,ACTIVE,2024-01-11 12:16:00,2024-01-11 12:16:00
700000111,300000111,1464277.35,CNY,PREPAID,LOW,91.74,0,N,2025-02-23 09:11:00,2025-02-23 09:11:00,,ACTIVE,2025-02-23 09:11:00,2025-02-23 09:11:00
700000112,300000112,189488.37,CNY,NET90,LOW,80.73,30,N,2024-12-22 13:56:00,2024-12-22 13:56:00,,ACTIVE,2024-12-22 13:56:00,2024-12-22 13:56:00
700000113,300000113,9175172.46,CNY,NET60,LOW,78.71,0,N,2024-05-26 10:35:00,2024-05-26 10:35:00,,ACTIVE,2024-05-26 10:35:00,2024-05-26 10:35:00
700000114,300000114,4674730.32,CNY,NET30,LOW,72.46,0,N,2025-05-14 04:36:00,2025-05-14 04:36:00,,ACTIVE,2025-05-14 04:36:00,2025-05-14 04:36:00
700000115,300000115,873588.17,CNY,NET60,LOW,74.07,0,N,2025-11-09 05:36:00,2025-11-09 05:36:00,,ACTIVE,2025-11-09 05:36:00,2025-11-09 05:36:00
700000116,300000116,379874.73,CNY,NET30,HIGH,24.43,15,N,2024-11-12 10:15:00,2024-11-12 10:15:00,,ACTIVE,2024-11-12 10:15:00,2024-11-12 10:15:00
700000117,300000117,551255.92,CNY,NET30,LOW,94.67,0,N,2025-01-03 06:47:00,2025-01-03 06:47:00,,ACTIVE,2025-01-03 06:47:00,2025-01-03 06:47:00
700000118,300000118,1542355.63,CNY,NET30,LOW,81.26,15,N,2024-10-01 15:22:00,2024-10-01 15:22:00,,ACTIVE,2024-10-01 15:22:00,2024-10-01 15:22:00
700000119,300000119,15420554.24,CNY,NET30,LOW,88.25,15,N,2024-08-16 03:43:00,2024-08-16 03:43:00,,ACTIVE,2024-08-16 03:43:00,2024-08-16 03:43:00
700000120,300000120,4409690.31,CNY,NET90,MEDIUM,83.36,0,N,2024-01-06 06:35:00,2024-01-06 06:35:00,,ACTIVE,2024-01-06 06:35:00,2024-01-06 06:35:00
700000121,300000121,3903953.45,CNY,NET30,LOW,81.54,15,N,2024-06-03 14:50:00,2024-06-03 14:50:00,,ACTIVE,2024-06-03 14:50:00,2024-06-03 14:50:00
700000122,300000122,6548023.0,CNY,NET30,LOW,60.22,0,N,2024-04-17 13:08:00,2024-04-17 13:08:00,,ACTIVE,2024-04-17 13:08:00,2024-04-17 13:08:00
700000123,300000123,13843608.77,CNY,PREPAID,LOW,61.12,15,N,2024-03-21 17:20:00,2024-03-21 17:20:00,,ACTIVE,2024-03-21 17:20:00,2024-03-21 17:20:00
700000124,300000124,8616226.33,CNY,NET30,LOW,75.09,0,N,2026-03-03 02:04:00,2026-03-03 02:04:00,,ACTIVE,2026-03-03 02:04:00,2026-03-03 02:04:00
700000125,300000125,125991.59,CNY,NET30,LOW,74.57,30,N,2025-10-05 08:11:00,2025-10-05 08:11:00,,ACTIVE,2025-10-05 08:11:00,2025-10-05 08:11:00
700000126,300000126,15949375.66,CNY,NET60,LOW,86.56,0,N,2024-10-23 17:09:00,2024-10-23 17:09:00,,ACTIVE,2024-10-23 17:09:00,2024-10-23 17:09:00
700000127,300000127,3999105.54,CNY,NET60,LOW,88.04,0,N,2024-04-05 19:16:00,2024-04-05 19:16:00,,ACTIVE,2024-04-05 19:16:00,2024-04-05 19:16:00
700000128,300000128,382723.54,CNY,NET30,LOW,67.99,0,N,2024-10-23 12:57:00,2024-10-23 12:57:00,,ACTIVE,2024-10-23 12:57:00,2024-10-23 12:57:00
700000129,300000129,657228.77,CNY,NET30,LOW,46.57,0,N,2024-03-29 00:19:00,2024-03-29 00:19:00,,ACTIVE,2024-03-29 00:19:00,2024-03-29 00:19:00
700000130,300000130,785970.67,CNY,NET30,MEDIUM,70.06,0,N,2024-12-18 23:37:00,2024-12-18 23:37:00,,ACTIVE,2024-12-18 23:37:00,2024-12-18 23:37:00
700000131,300000131,235120.21,CNY,NET30,LOW,52.73,30,N,2025-03-10 00:14:00,2025-03-10 00:14:00,,ACTIVE,2025-03-10 00:14:00,2025-03-10 00:14:00
700000132,300000132,1934444.91,CNY,PREPAID,LOW,91.9,0,N,2024-08-26 22:33:00,2024-08-26 22:33:00,,ACTIVE,2024-08-26 22:33:00,2024-08-26 22:33:00
700000133,300000133,56049.47,CNY,NET30,LOW,85.98,0,N,2025-03-29 17:32:00,2025-03-29 17:32:00,,ACTIVE,2025-03-29 17:32:00,2025-03-29 17:32:00
700000134,300000134,69607.29,CNY,NET30,LOW,85.3,0,N,2023-11-06 09:25:00,2023-11-06 09:25:00,,ACTIVE,2023-11-06 09:25:00,2023-11-06 09:25:00
700000135,300000135,7592108.18,CNY,NET90,LOW,51.81,0,N,2025-12-26 13:53:00,2025-12-26 13:53:00,,ACTIVE,2025-12-26 13:53:00,2025-12-26 13:53:00
700000136,300000136,835877.0,CNY,NET30,LOW,94.42,0,N,2024-09-13 08:57:00,2024-09-13 08:57:00,,ACTIVE,2024-09-13 08:57:00,2024-09-13 08:57:00
700000137,300000137,626951.65,CNY,PREPAID,LOW,83.52,0,N,2024-01-23 15:57:00,2024-01-23 15:57:00,,ACTIVE,2024-01-23 15:57:00,2024-01-23 15:57:00
700000138,300000138,592349.14,CNY,NET60,HIGH,14.51,0,N,2023-12-26 00:16:00,2023-12-26 00:16:00,,ACTIVE,2023-12-26 00:16:00,2023-12-26 00:16:00
700000139,300000139,137902.5,CNY,NET90,LOW,58.51,0,N,2025-09-30 13:57:00,2025-09-30 13:57:00,,ACTIVE,2025-09-30 13:57:00,2025-09-30 13:57:00
700000140,300000140,225906.19,CNY,NET30,LOW,73.13,30,N,2024-08-04 18:36:00,2024-08-04 18:36:00,,ACTIVE,2024-08-04 18:36:00,2024-08-04 18:36:00
700000141,300000141,8849869.12,CNY,NET30,LOW,45.94,0,N,2024-06-17 21:08:00,2024-06-17 21:08:00,,ACTIVE,2024-06-17 21:08:00,2024-06-17 21:08:00
700000142,300000142,961329.71,CNY,NET30,MEDIUM,44.08,0,N,2025-12-17 08:10:00,2025-12-17 08:10:00,,ACTIVE,2025-12-17 08:10:00,2025-12-17 08:10:00
700000143,300000143,89789.72,CNY,NET30,LOW,55.48,0,N,2025-10-13 04:04:00,2025-10-13 04:04:00,,ACTIVE,2025-10-13 04:04:00,2025-10-13 04:04:00
700000144,300000144,176565.36,CNY,NET30,LOW,56.96,15,N,2024-05-22 03:22:00,2024-05-22 03:22:00,,ACTIVE,2024-05-22 03:22:00,2024-05-22 03:22:00
700000145,300000145,171227.02,CNY,NET30,LOW,62.77,30,N,2025-07-04 09:31:00,2025-07-04 09:31:00,,ACTIVE,2025-07-04 09:31:00,2025-07-04 09:31:00
700000146,300000146,977731.9,CNY,NET30,LOW,84.47,0,N,2026-01-09 11:03:00,2026-01-09 11:03:00,,ACTIVE,2026-01-09 11:03:00,2026-01-09 11:03:00
