cust_account_id,party_id,account_number,account_name,customer_class_code,credit_classification,payment_term_code,sales_channel_code,region_code,account_status,open_date,created_date,last_update_date
300000047,100000047,CUST300000047,苏州融信物流贸易有限公司,STANDARD,MEDIUM,NET30,DIRECT,杭州,ACTIVE,2024-07-08 10:43:00,2024-07-08 10:43:00,2024-07-08 10:43:00
300000048,100000048,CUST300000048,苏州嘉禾电子供应链有限公司,STANDARD,LOW,NET90,ONLINE,杭州,ACTIVE,2025-04-23 16:52:00,2025-04-23 16:52:00,2025-04-23 16:52:00
300000049,100000049,CUST300000049,陈敏,STANDARD,MEDIUM,NET30,ONLINE,深圳,ACTIVE,2025-03-29 16:23:00,2025-03-29 16:23:00,2025-03-29 16:23:00
300000050,100000050,CUST300000050,北京融信供应链贸易有限公司,STANDARD,LOW,NET60,PARTNER,上海,ACTIVE,2026-01-27 08:06:00,2026-01-27 08:06:00,2026-01-27 08:06:00
300000051,100000051,CUST300000051,上海融信贸易供应链有限公司,STANDARD,HIGH,NET30,DIRECT,上海,ACTIVE,2025-01-14 20:10:00,2025-01-14 20:10:00,2025-01-14 20:10:00
300000052,100000052,CUST300000052,苏州恒越制造供应链有限公司,STANDARD,LOW,NET60,PARTNER,深圳,ACTIVE,2024-03-04 12:09:00,2024-03-04 12:09:00,2024-03-04 12:09:00
300000053,100000053,CUST300000053,苏州明川供应链科技有限公司,STANDARD,LOW,NET90,ONLINE,杭州,ACTIVE,2025-03-19 20:12:00,2025-03-19 20:12:00,2025-03-19 20:12:00
300000054,100000054,CUST300000054,吴超,STANDARD,LOW,NET30,PARTNER,杭州,ACTIVE,2024-03-02 03:59:00,2024-03-02 03:59:00,2024-03-02 03:59:00
300000055,100000055,CUST300000055,杭州远辰科技有限公司,STANDARD,LOW,NET60,ONLINE,北京,ACTIVE,2025-08-22 07:53:00,2025-08-22 07:53:00,2025-08-22 07:53:00
300000056,100000056,CUST300000056,杭州启元供应链科技有限公司,STANDARD,MEDIUM,NET30,ONLINE,苏州,ACTIVE,2024-02-25 10:49:00,2024-02-25 10:49:00,2024-02-25 10:49:00
300000057,100000057,CUST300000057,北京智联医疗有限公司,STANDARD,LOW,NET60,ONLINE,苏州,ACTIVE,2025-03-25 21:33:00,2025-03-25 21:33:00,2025-03-25 21:33:00
300000058,100000058,CUST300000058,深圳融信供应链制造有限公司,STANDARD,LOW,PREPAID,ONLINE,杭州,ACTIVE,2025-09-09 18:22:00,2025-09-09 18:22:00,2025-09-09 18:22:00
300000059,100000059,CUST300000059,上海恒越贸易科技有限公司,STANDARD,LOW,NET30,DIRECT,北京,ACTIVE,2024-08-02 22:38:00,2024-08-02 22:38:00,2024-08-02 22:38:00
300000060,100000060,CUST300000060,上海智联材料贸易有限公司,STANDARD,LOW,NET90,PARTNER,深圳,ACTIVE,2024-11-28 07:51:00,2024-11-28 07:51:00,2024-11-28 07:51:00
300000061,100000061,CUST300000061,上海远辰贸易制造有限公司,STANDARD,HIGH,NET60,PARTNER,北京,ACTIVE,2026-02-05 03:19:00,2026-02-05 03:19:00,2026-02-05 03:19:00
300000062,100000062,CUST300000062,苏州启元物流科技有限公司,STANDARD,LOW,NET60,DIRECT,深圳,ACTIVE,2025-04-28 19:18:00,2025-04-28 19:18:00,2025-04-28 19:18:00
300000063,100000063,CUST300000063,杭州远辰电子制造有限公司,STANDARD,MEDIUM,NET30,ONLINE,深圳,ACTIVE,2023-10-15 04:52:00,2023-10-15 04:52:00,2023-10-15 04:52:00
300000064,100000064,CUST300000064,杭州安拓医疗供应链有限公司,STANDARD,LOW,NET90,PARTNER,杭州,ACTIVE,2025-09-13 12:17:00,2025-09-13 12:17:00,2025-09-13 12:17:00
300000065,100000065,CUST300000065,深圳安拓贸易贸易有限公司,STANDARD,HIGH,NET30,DIRECT,上海,ACTIVE,2025-10-17 15:32:00,2025-10-17 15:32:00,2025-10-17 15:32:00
300000066,100000066,CUST300000066,深圳恒越供应链有限公司,STANDARD,LOW,NET30,DIRECT,深圳,ACTIVE,2025-11-10 22:42:00,2025-11-10 22:42:00,2025-11-10 22:42:00
300000067,100000067,CUST300000067,深圳启元供应链制造有限公司,STANDARD,LOW,NET30,DIRECT,杭州,ACTIVE,2023-11-25 08:22:00,2023-11-25 08:22:00,2023-11-25 08:22:00
300000068,100000068,CUST300000068,苏州明川科技供应链有限公司,STANDARD,MEDIUM,NET60,ONLINE,深圳,ACTIVE,2024-02-24 23:38:00,2024-02-24 23:38:00,2024-02-24 23:38:00
300000069,100000069,CUST300000069,杭州安拓材料科技有限公司,STANDARD,MEDIUM,PREPAID,ONLINE,深圳,ACTIVE,2025-09-05 22:10:00,2025-09-05 22:10:00,2025-09-05 22:10:00
300000070,100000070,CUST300000070,苏州启元电子制造有限公司,STANDARD,LOW,NET90,ONLINE,北京,ACTIVE,2025-04-17 18:29:00,2025-04-17 18:29:00,2025-04-17 18:29:00
300000071,100000071,CUST300000071,深圳恒越医疗制造有限公司,STANDARD,LOW,NET60,DIRECT,北京,ACTIVE,2026-02-15 00:05:00,2026-02-15 00:05:00,2026-02-15 00:05:00
300000072,100000072,CUST300000072,杭州华盛材料有限公司,STANDARD,LOW,NET30,DIRECT,杭州,ACTIVE,2024-08-27 22:22:00,2024-08-27 22:22:00,2024-08-27 22:22:00
300000073,100000073,CUST300000073,深圳远辰材料贸易有限公司,STANDARD,LOW,NET30,DIRECT,上海,ACTIVE,2024-04-09 09:47:00,2024-04-09 09:47:00,2024-04-09 09:47:00
300000074,100000074,CUST300000074,深圳融信医疗制造有限公司,STANDARD,MEDIUM,NET60,PARTNER,杭州,ACTIVE,2024-01-09 19:45:00,2024-01-09 19:45:00,2024-01-09 19:45:00
300000075,100000075,CUST300000075,北京融信物流供应链有限公司,STANDARD,MEDIUM,NET90,DIRECT,深圳,ACTIVE,2024-12-25 09:17:00,2024-12-25 09:17:00,2024-12-25 09:17:00
300000076,100000076,CUST300000076,苏州嘉禾贸易贸易有限公司,STANDARD,MEDIUM,NET60,ONLINE,深圳,ACTIVE,2025-06-22 19:20:00,2025-06-22 19:20:00,2025-06-22 19:20:00
300000077,100000077,CUST300000077,王娜琳,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2026-02-27 08:04:00,2026-02-27 08:04:00,2026-02-27 08:04:00
300000078,100000078,CUST300000078,杭州恒越制造制造有限公司,STANDARD,MEDIUM,NET30,PARTNER,苏州,ACTIVE,2025-11-17 12:28:00,2025-11-17 12:28:00,2025-11-17 12:28:00
300000079,100000079,CUST300000079,杭州恒越贸易科技有限公司,STANDARD,MEDIUM,NET30,PARTNER,北京,ACTIVE,2024-11-06 23:55:00,2024-11-06 23:55:00,2024-11-06 23:55:00
300000080,100000080,CUST300000080,深圳明川物流科技有限公司,STANDARD,MEDIUM,NET30,PARTNER,苏州,ACTIVE,2026-02-06 05:25:00,2026-02-06 05:25:00,2026-02-06 05:25:00
300000081,100000081,CUST300000081,苏州融信贸易科技有限公司,STANDARD,LOW,NET60,ONLINE,上海,ACTIVE,2025-11-10 01:39:00,2025-11-10 01:39:00,2025-11-10 01:39:00
300000082,100000082,CUST300000082,苏州华盛贸易贸易有限公司,STANDARD,MEDIUM,NET90,ONLINE,上海,ACTIVE,2026-03-13 12:39:00,2026-03-13 12:39:00,2026-03-13 12:39:00
300000083,100000083,CUST300000083,深圳华盛材料科技有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2025-07-25 22:24:00,2025-07-25 22:24:00,2025-07-25 22:24:00
300000084,100000084,CUST300000084,深圳远辰供应链贸易有限公司,STANDARD,LOW,NET30,DIRECT,北京,ACTIVE,2024-12-15 06:39:00,2024-12-15 06:39:00,2024-12-15 06:39:00
300000085,100000085,CUST300000085,北京恒越材料制造有限公司,STANDARD,LOW,NET30,PARTNER,苏州,ACTIVE,2024-09-20 11:03:00,2024-09-20 11:03:00,2024-09-20 11:03:00
300000086,100000086,CUST300000086,上海启元医疗科技有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2024-10-03 16:20:00,2024-10-03 16:20:00,2024-10-03 16:20:00
300000087,100000087,CUST300000087,北京安拓供应链制造有限公司,STANDARD,LOW,PREPAID,DIRECT,深圳,ACTIVE,2024-03-20 22:02:00,2024-03-20 22:02:00,2024-03-20 22:02:00
300000088,100000088,CUST300000088,深圳启元电子制造有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2023-11-10 07:31:00,2023-11-10 07:31:00,2023-11-10 07:31:00
300000089,100000089,CUST300000089,杭州远辰物流供应链有限公司,STANDARD,LOW,NET30,PARTNER,深圳,ACTIVE,2024-11-27 13:01:00,2024-11-27 13:01:00,2024-11-27 13:01:00
300000090,100000090,CUST300000090,深圳安拓医疗科技有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2024-06-14 14:37:00,2024-06-14 14:37:00,2024-06-14 14:37:00
300000091,100000091,CUST300000091,上海明川材料贸易有限公司,STANDARD,MEDIUM,NET30,ONLINE,深圳,ACTIVE,2024-09-16 07:48:00,2024-09-16 07:48:00,2024-09-16 07:48:00
300000092,100000092,CUST300000092,深圳安拓制造贸易有限公司,STANDARD,LOW,NET60,DIRECT,上海,ACTIVE,2025-05-19 00:59:00,2025-05-19 00:59:00,2025-05-19 00:59:00
300000093,100000093,CUST300000093,北京云启医疗供应链有限公司,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2024-12-26 11:36:00,2024-12-26 11:36:00,2024-12-26 11:36:00
300000094,100000094,CUST300000094,上海智联物流科技有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2024-02-06 20:58:00,2024-02-06 20:58:00,2024-02-06 20:58:00
300000095,100000095,CUST300000095,深圳智联材料科技有限公司,STANDARD,LOW,NET30,DIRECT,深圳,ACTIVE,2024-03-11 05:40:00,2024-03-11 05:40:00,2024-03-11 05:40:00
300000096,100000096,CUST300000096,杭州智联材料有限公司,STANDARD,HIGH,NET90,PARTNER,北京,ACTIVE,2025-02-05 19:41:00,2025-02-05 19:41:00,2025-02-05 19:41:00
300000097,100000097,CUST300000097,北京嘉禾医疗科技有限公司,STANDARD,LOW,NET30,ONLINE,深圳,ACTIVE,2024-03-19 17:57:00,2024-03-19 17:57:00,2024-03-19 17:57:00
300000098,100000098,CUST300000098,杭州明川材料科技有限公司,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2024-01-26 14:36:00,2024-01-26 14:36:00,2024-01-26 14:36:00
300000099,100000099,CUST300000099,北京云启供应链科技有限公司,STANDARD,LOW,NET60,ONLINE,上海,ACTIVE,2025-09-11 13:46:00,2025-09-11 13:46:00,2025-09-11 13:46:00
300000100,100000100,CUST300000100,苏州远辰制造贸易有限公司,STANDARD,LOW,NET30,ONLINE,上海,ACTIVE,2023-11-22 21:08:00,2023-11-22 21:08:00,2023-11-22 21:08:00
300000101,100000101,CUST300000101,上海安拓材料有限公司,STANDARD,LOW,NET90,DIRECT,上海,ACTIVE,2024-03-21 15:26:00,2024-03-21 15:26:00,2024-03-21 15:26:00
300000102,100000102,CUST300000102,苏州启元物流有限公司,STANDARD,LOW,NET30,PARTNER,北京,ACTIVE,2025-05-27 02:08:00,2025-05-27 02:08:00,2025-05-27 02:08:00
300000103,100000103,CUST300000103,苏州华盛电子贸易有限公司,STANDARD,HIGH,PREPAID,PARTNER,杭州,ACTIVE,2026-01-13 02:01:00,2026-01-13 02:01:00,2026-01-13 02:01:00
300000104,100000104,CUST300000104,苏州远辰供应链贸易有限公司,STANDARD,MEDIUM,NET30,PARTNER,北京,ACTIVE,2024-03-03 19:10:00,2024-03-03 19:10:00,2024-03-03 19:10:00
300000105,100000105,CUST300000105,苏州云启医疗供应链有限公司,STANDARD,LOW,NET60,DIRECT,苏州,ACTIVE,2024-05-03 05:18:00,2024-05-03 05:18:00,2024-05-03 05:18:00
300000106,100000106,CUST300000106,苏州安拓贸易制造有限公司,STANDARD,LOW,NET60,ONLINE,深圳,ACTIVE,2024-09-08 07:34:00,2024-09-08 07:34:00,2024-09-08 07:34:00
300000107,100000107,CUST300000107,上海嘉禾制造供应链有限公司,STANDARD,LOW,NET90,PARTNER,苏州,ACTIVE,2026-01-25 18:33:00,2026-01-25 18:33:00,2026-01-25 18:33:00
300000108,100000108,CUST300000108,深圳智联贸易贸易有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2023-12-08 03:22:00,2023-12-08 03:22:00,2023-12-08 03:22:00
300000109,100000109,CUST300000109,苏州智联医疗供应链有限公司,STANDARD,LOW,NET90,DIRECT,上海,ACTIVE,2024-09-13 23:14:00,2024-09-13 23:14:00,2024-09-13 23:14:00
300000110,100000110,CUST300000110,北京明川材料贸易有限公司,STANDARD,LOW,NET90,ONLINE,北京,ACTIVE,2024-01-11 12:16:00,2024-01-11 12:16:00,2024-01-11 12:16:00
300000111,100000111,CUST300000111,苏州智联电子有限公司,STANDARD,LOW,PREPAID,PARTNER,杭州,ACTIVE,2025-02-23 09:11:00,2025-02-23 09:11:00,2025-02-23 09:11:00
300000112,100000112,CUST300000112,苏州安拓供应链贸易有限公司,STANDARD,LOW,NET90,ONLINE,北京,ACTIVE,2024-12-22 13:56:00,2024-12-22 13:56:00,2024-12-22 13:56:00
300000113,100000113,CUST300000113,杭州恒越物流供应链有限公司,STANDARD,LOW,NET60,PARTNER,北京,ACTIVE,2024-05-26 10:35:00,2024-05-26 10:35:00,2024-05-26 10:35:00
300000114,100000114,CUST300000114,上海远辰贸易制造有限公司,STANDARD,LOW,NET30,PARTNER,深圳,ACTIVE,2025-05-14 04:36:00,2025-05-14 04:36:00,2025-05-14 04:36:00
300000115,100000115,CUST300000115,杭州启元电子科技有限公司,STANDARD,LOW,NET60,PARTNER,杭州,ACTIVE,2025-11-09 05:36:00,2025-11-09 05:36:00,2025-11-09 05:36:00
300000116,100000116,CUST300000116,北京远辰供应链供应链有限公司,STANDARD,HIGH,NET30,DIRECT,上海,ACTIVE,2024-11-12 10:15:00,2024-11-12 10:15:00,2024-11-12 10:15:00
300000117,100000117,CUST300000117,北京融信电子贸易有限公司,STANDARD,LOW,NET30,DIRECT,上海,ACTIVE,2025-01-03 06:47:00,2025-01-03 06:47:00,2025-01-03 06:47:00
300000118,100000118,CUST300000118,上海恒越物流科技有限公司,STANDARD,LOW,NET30,PARTNER,杭州,ACTIVE,2024-10-01 15:22:00,2024-10-01 15:22:00,2024-10-01 15:22:00
300000119,100000119,CUST300000119,苏州远辰制造科技有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2024-08-16 03:43:00,2024-08-16 03:43:00,2024-08-16 03:43:00
300000120,100000120,CUST300000120,苏州华盛科技有限公司,STANDARD,MEDIUM,NET90,PARTNER,北京,ACTIVE,2024-01-06 06:35:00,2024-01-06 06:35:00,2024-01-06 06:35:00
300000121,100000121,CUST300000121,胡伟杰,STANDARD,LOW,NET30,PARTNER,深圳,ACTIVE,2024-06-03 14:50:00,2024-06-03 14:50:00,2024-06-03 14:50:00
300000122,100000122,CUST300000122,深圳云启供应链供应链有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2024-04-17 13:08:00,2024-04-17 13:08:00,2024-04-17 13:08:00
300000123,100000123,CUST300000123,杭州远辰电子贸易有限公司,STANDARD,LOW,PREPAID,DIRECT,上海,ACTIVE,2024-03-21 17:20:00,2024-03-21 17:20:00,2024-03-21 17:20:00
300000124,100000124,CUST300000124,杭州嘉禾医疗有限公司,STANDARD,LOW,NET30,DIRECT,上海,ACTIVE,2026-03-03 02:04:00,2026-03-03 02:04:00,2026-03-03 02:04:00
300000125,100000125,CUST300000125,深圳恒越贸易科技有限公司,STANDARD,LOW,NET30,DIRECT,上海,ACTIVE,2025-10-05 08:11:00,2025-10-05 08:11:00,2025-10-05 08:11:00
300000126,100000126,CUST300000126,北京智联电子贸易有限公司,STANDARD,LOW,NET60,ONLINE,杭州,ACTIVE,2024-10-23 17:09:00,2024-10-23 17:09:00,2024-10-23 17:09:00
300000127,100000127,CUST300000127,北京明川材料贸易有限公司,STANDARD,LOW,NET60,ONLINE,苏州,ACTIVE,2024-04-05 19:16:00,2024-04-05 19:16:00,2024-04-05 19:16:00
300000128,100000128,CUST300000128,深圳恒越物流制造有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2024-10-23 12:57:00,2024-10-23 12:57:00,2024-10-23 12:57:00
300000129,100000129,CUST300000129,深圳嘉禾科技供应链有限公司,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2024-03-29 00:19:00,2024-03-29 00:19:00,2024-03-29 00:19:00
300000130,100000130,CUST300000130,上海云启物流有限公司,STANDARD,MEDIUM,NET30,ONLINE,苏州,ACTIVE,2024-12-18 23:37:00,2024-12-18 23:37:00,2024-12-18 23:37:00
300000131,100000131,CUST300000131,北京云启供应链贸易有限公司,STANDARD,LOW,NET30,DIRECT,深圳,ACTIVE,2025-03-10 00:14:00,2025-03-10 00:14:00,2025-03-10 00:14:00
300000132,100000132,CUST300000132,苏州安拓电子贸易有限公司,STANDARD,LOW,PREPAID,PARTNER,杭州,ACTIVE,2024-08-26 22:33:00,2024-08-26 22:33:00,2024-08-26 22:33:00
300000133,100000133,CUST300000133,上海明川制造有限公司,STANDARD,LOW,NET30,ONLINE,北京,ACTIVE,2025-03-29 17:32:00,2025-03-29 17:32:00,2025-03-29 17:32:00
300000134,100000134,CUST300000134,杭州恒越物流贸易有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2023-11-06 09:25:00,2023-11-06 09:25:00,2023-11-06 09:25:00
300000135,100000135,CUST300000135,深圳华盛医疗有限公司,STANDARD,LOW,NET90,PARTNER,深圳,ACTIVE,2025-12-26 13:53:00,2025-12-26 13:53:00,2025-12-26 13:53:00
300000136,100000136,CUST300000136,北京远辰科技贸易有限公司,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2024-09-13 08:57:00,2024-09-13 08:57:00,2024-09-13 08:57:00
300000137,100000137,CUST300000137,北京恒越贸易供应链有限公司,STANDARD,LOW,PREPAID,DIRECT,深圳,ACTIVE,2024-01-23 15:57:00,2024-01-23 15:57:00,2024-01-23 15:57:00
300000138,100000138,CUST300000138,杭州华盛物流制造有限公司,STANDARD,HIGH,NET60,DIRECT,杭州,ACTIVE,2023-12-26 00:16:00,2023-12-26 00:16:00,2023-12-26 00:16:00
