cust_account_id,party_id,account_number,account_name,account_status,payment_term_code,region_code,created_at
300032,100032,CUST300032,上海示例客户032有限公司,ACTIVE,NET90,苏州,2025-01-01 00:00:00
300033,100033,CUST300033,上海示例客户033有限公司,ACTIVE,NET30,杭州,2025-01-01 00:00:00
300034,100034,CUST300034,杭州示例客户034有限公司,ACTIVE,NET30,上海,2025-01-01 00:00:00
300035,100035,CUST300035,深圳示例客户035有限公司,ACTIVE,NET90,苏州,2025-01-01 00:00:00
300036,100036,CUST300036,广州示例客户036有限公司,ACTIVE,PREPAID,深圳,2025-01-01 00:00:00
300037,100037,CUST300037,北京示例客户037有限公司,ACTIVE,NET90,北京,2025-01-01 00:00:00
300038,100038,CUST300038,杭州示例客户038有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
300039,100039,CUST300039,上海示例客户039有限公司,ACTIVE,PREPAID,杭州,2025-01-01 00:00:00
300040,100040,CUST300040,苏州示例客户040有限公司,ACTIVE,PREPAID,杭州,2025-01-01 00:00:00
300041,100041,CUST300041,深圳示例客户041有限公司,ACTIVE,NET60,成都,2025-01-01 00:00:00
300042,100042,CUST300042,成都示例客户042有限公司,ACTIVE,PREPAID,北京,2025-01-01 00:00:00
300043,100043,CUST300043,深圳示例客户043有限公司,ACTIVE,NET30,广州,2025-01-01 00:00:00
300044,100044,CUST300044,杭州示例客户044有限公司,ACTIVE,NET30,苏州,2025-01-01 00:00:00
300045,100045,CUST300045,广州示例客户045有限公司,ACTIVE,PREPAID,成都,2025-01-01 00:00:00
300046,100046,CUST300046,深圳示例客户046有限公司,ACTIVE,NET90,苏州,2025-01-01 00:00:00
300047,100047,CUST300047,杭州示例客户047有限公司,ACTIVE,NET30,广州,2025-01-01 00:00:00
300048,100048,CUST300048,苏州示例客户048有限公司,ACTIVE,NET30,广州,2025-01-01 00:00:00
300049,100049,CUST300049,上海示例客户049有限公司,ACTIVE,NET90,苏州,2025-01-01 00:00:00
300050,100050,CUST300050,广州示例客户050有限公司,ACTIVE,PREPAID,上海,2025-01-01 00:00:00
300051,100051,CUST300051,深圳示例客户051有限公司,ACTIVE,PREPAID,广州,2025-01-01 00:00:00
300052,100052,CUST300052,杭州示例客户052有限公司,ACTIVE,NET90,北京,2025-01-01 00:00:00
300053,100053,CUST300053,上海示例客户053有限公司,ACTIVE,NET30,深圳,2025-01-01 00:00:00
300054,100054,CUST300054,广州示例客户054有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
300055,100055,CUST300055,上海示例客户055有限公司,ACTIVE,PREPAID,广州,2025-01-01 00:00:00
300056,100056,CUST300056,杭州示例客户056有限公司,ACTIVE,NET30,上海,2025-01-01 00:00:00
300057,100057,CUST300057,苏州示例客户057有限公司,ACTIVE,PREPAID,上海,2025-01-01 00:00:00
300058,100058,CUST300058,广州示例客户058有限公司,ACTIVE,PREPAID,上海,2025-01-01 00:00:00
300059,100059,CUST300059,杭州示例客户059有限公司,ACTIVE,NET60,深圳,2025-01-01 00:00:00
300060,100060,CUST300060,成都示例客户060有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
300061,100061,CUST300061,成都示例客户061有限公司,ACTIVE,NET90,杭州,2025-01-01 00:00:00
300062,100062,CUST300062,上海示例客户062有限公司,ACTIVE,NET30,深圳,2025-01-01 00:00:00
300063,100063,CUST300063,北京示例客户063有限公司,ACTIVE,NET60,广州,2025-01-01 00:00:00
300064,100064,CUST300064,北京示例客户064有限公司,ACTIVE,NET90,上海,2025-01-01 00:00:00
300065,100065,CUST300065,苏州示例客户065有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
300066,100066,CUST300066,上海示例客户066有限公司,ACTIVE,PREPAID,苏州,2025-01-01 00:00:00
300067,100067,CUST300067,苏州示例客户067有限公司,ACTIVE,NET60,广州,2025-01-01 00:00:00
300068,100068,CUST300068,深圳示例客户068有限公司,ACTIVE,NET90,上海,2025-01-01 00:00:00
300069,100069,CUST300069,上海示例客户069有限公司,ACTIVE,NET60,上海,2025-01-01 00:00:00
300070,100070,CUST300070,成都示例客户070有限公司,ACTIVE,PREPAID,北京,2025-01-01 00:00:00
300071,100071,CUST300071,北京示例客户071有限公司,ACTIVE,PREPAID,深圳,2025-01-01 00:00:00
300072,100072,CUST300072,深圳示例客户072有限公司,ACTIVE,NET90,成都,2025-01-01 00:00:00
300073,100073,CUST300073,杭州示例客户073有限公司,ACTIVE,NET90,上海,2025-01-01 00:00:00
300074,100074,CUST300074,北京示例客户074有限公司,ACTIVE,NET90,深圳,2025-01-01 00:00:00
300075,100075,CUST300075,广州示例客户075有限公司,ACTIVE,PREPAID,北京,2025-01-01 00:00:00
300076,100076,CUST300076,成都示例客户076有限公司,ACTIVE,NET60,上海,2025-01-01 00:00:00
300077,100077,CUST300077,广州示例客户077有限公司,ACTIVE,PREPAID,广州,2025-01-01 00:00:00
300078,100078,CUST300078,广州示例客户078有限公司,ACTIVE,NET30,上海,2025-01-01 00:00:00
300079,100079,CUST300079,北京示例客户079有限公司,ACTIVE,NET30,北京,2025-01-01 00:00:00
300080,100080,CUST300080,北京示例客户080有限公司,ACTIVE,PREPAID,上海,2025-01-01 00:00:00
300081,100081,CUST300081,深圳示例客户081有限公司,ACTIVE,NET90,北京,2025-01-01 00:00:00
300082,100082,CUST300082,杭州示例客户082有限公司,ACTIVE,NET90,杭州,2025-01-01 00:00:00
300083,100083,CUST300083,上海示例客户083有限公司,ACTIVE,NET90,杭州,2025-01-01 00:00:00
300084,100084,CUST300084,北京示例客户084有限公司,ACTIVE,NET60,苏州,2025-01-01 00:00:00
300085,100085,CUST300085,广州示例客户085有限公司,ACTIVE,NET60,北京,2025-01-01 00:00:00
300086,100086,CUST300086,杭州示例客户086有限公司,ACTIVE,PREPAID,北京,2025-01-01 00:00:00
300087,100087,CUST300087,成都示例客户087有限公司,ACTIVE,NET60,成都,2025-01-01 00:00:00
300088,100088,CUST300088,苏州示例客户088有限公司,ACTIVE,PREPAID,苏州,2025-01-01 00:00:00
300089,100089,CUST300089,杭州示例客户089有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
300090,100090,CUST300090,苏州示例客户090有限公司,ACTIVE,NET90,成都,2025-01-01 00:00:00
300091,100091,CUST300091,深圳示例客户091有限公司,ACTIVE,NET90,北京,2025-01-01 00:00:00
300092,100092,CUST300092,深圳示例客户092有限公司,ACTIVE,PREPAID,北京,2025-01-01 00:00:00
300093,100093,CUST300093,广州示例客户093有限公司,ACTIVE,NET30,成都,2025-01-01 00:00:00
300094,100094,CUST300094,杭州示例客户094有限公司,ACTIVE,NET90,成都,2025-01-01 00:00:00
300095,100095,CUST300095,广州示例客户095有限公司,ACTIVE,NET30,苏州,2025-01-01 00:00:00
300096,100096,CUST300096,广州示例客户096有限公司,ACTIVE,NET90,杭州,2025-01-01 00:00:00
300097,100097,CUST300097,杭州示例客户097有限公司,ACTIVE,NET60,北京,2025-01-01 00:00:00
300098,100098,CUST300098,北京示例客户098有限公司,ACTIVE,NET90,成都,2025-01-01 00:00:00
300099,100099,CUST300099,苏州示例客户099有限公司,ACTIVE,PREPAID,深圳,2025-01-01 00:00:00
300100,100100,CUST300100,北京示例客户100有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
